Movie,Lead Actor(s),Year,Genre,Worldwide Gross (INR Cr),IMDb Rating
Dangal,Aamir Khan,2016,Sports Biopic,2020,8.3
Baahubali 2: The Conclusion,Prabhas,2017,Epic / Historical,1810,8
Pushpa: The Rule – Part 2,Allu Arjun,2024,Action / Drama,1742,9
RRR,"Jr. NTR, Ram Charan",2022,Period Action,1230,8
KGF Chapter 2,Yash,2022,Action Thriller,1215,8.2
Jawan,Shah Rukh Khan,2023,Action Thriller,1160,9
Pathaan,Shah Rukh Khan,2023,Spy Action,1055,8
Kalki 2898 AD,Prabhas,2024,Sci-Fi / Epic,1042,9.7
Bajrangi Bhaijaan,Salman Khan,2015,Drama / Social,920,8
Secret Superstar,Aamir Khan,2017,Musical / Family,966,8
Animal,Ranbir Kapoor,2023,Action Crime,915,6.9
